Resolución,Nombre,Categoría,Megapíxeles,FPS_Nativo,FPS_Híbrido,Inferencia_ms,Latencia_Total_ms,Caída_FPS_%,Tiempo_Real,Suave,Competitivo,Valoración,Cuello_Botella
160x120,QQVGA,Muy Baja,0.0192,4968.055633571095,539.5071341781255,0.07551206675862245,1.5755120667586224,89.14047720133274,True,True,True,Excelente,AI_Processing
320x240,QVGA,Baja,0.0768,3924.4620080064597,419.20378744653596,0.5276534359995655,2.0276534359995653,89.3181845921479,True,True,True,Excelente,AI_Processing
480x270,qHD,Baja+,0.1296,1795.3656799796415,330.4495783330905,1.0722532444668664,2.572253244466866,81.5943023742752,True,True,True,Excelente,AI_Processing
640x360,nHD,Media Baja,0.2304,1018.7513757815218,213.1825996780534,2.4871922065105827,3.9871922065105827,79.07412890465908,True,True,True,Excelente,AI_Processing
640x480,VGA,Media,0.3072,768.6261566147301,166.50356688693773,3.6049957420863086,5.104995742086309,78.33750966526154,True,True,True,Excelente,AI_Processing
800x600,SVGA,Media+,0.48,485.7819031244887,94.95678837961728,7.451440065578868,8.951440065578868,80.45279419244169,True,True,False,Bueno,AI_Processing
1024x576,WSVGA,Media Alta,0.589824,398.9607050419402,74.96548936348272,9.838550674679555,11.338550674679555,81.20980627513126,True,True,False,Bueno,AI_Processing
1024x768,XGA,Alta,0.786432,299.233891456075,51.37912738189318,15.043683073518945,16.543683073518945,82.82977669010624,True,False,False,Aceptable,AI_Processing
1280x720,HD,HD Estándar,0.9216,254.7748200642509,40.80191165202645,19.332357249560005,20.832357249560005,83.9851082451018,True,False,False,Aceptable,AI_Processing
1366x768,WXGA,HD+,1.049088,223.19618810082093,35.08141336540184,22.729354477442204,24.229354477442204,84.28225245963651,True,False,False,Aceptable,AI_Processing
1600x900,HD+,HD Plus,1.44,163.69609360555947,20.62218159923029,39.71775360719962,41.21775360719962,87.40215411070145,False,False,False,Insuficiente,AI_Processing
1680x1050,WSXGA+,HD Pro,1.764,133.5931587001475,15.31247350795423,54.01030011960238,55.51030011960238,88.53798079411884,False,False,False,Insuficiente,AI_Processing
1920x1080,FHD,Full HD,2.0736,112.84883967571095,11.659187726933594,71.40387803229521,72.90387803229521,89.66831403810787,False,False,False,Insuficiente,AI_Processing
2048x1152,2K,2K Intermedio,2.359296,101.91088498295726,8.664720241887075,96.59895487345588,98.09895487345588,91.4977480145167,False,False,False,Insuficiente,AI_Processing
2560x1440,QHD,Quad HD,3.6864,63.47905166515968,3.0321260320380636,278.8313552994586,280.3313552994586,95.22342260556763,False,False,False,Insuficiente,AI_Processing
3200x1800,QHD+,Quad HD+,5.76,41.112225448187594,0.8870688820072393,956.7119463785488,958.2119463785488,97.84232336650035,False,False,False,Insuficiente,AI_Processing
3840x2160,4K UHD,4K Ultra HD,8.2944,28.129911016316463,0.30144689248420975,2818.2338277239805,2819.7338277239805,98.92837594719244,False,False,False,Insuficiente,AI_Processing
4096x2160,DCI 4K,4K Cinema,8.84736,26.19369852702778,0.2548986513671191,3333.158678816559,3334.658678816559,99.02687033255688,False,False,False,Insuficiente,AI_Processing
