model_type,model_name,mean_fps,std_fps,median_fps,min_fps,max_fps,mean_latency_ms,std_latency_ms,total_experiments
FSRCNN,FSRCNN_x2,44.21401848620336,103.36668836526597,5.075789002500272,0.22225580754425114,444.44444444444446,1104.509523809524,1460.9140941471599,42
FSRCNN,FSRCNN_x3,46.60553148679286,101.18039167851639,4.757600266425615,0.2126786234588775,404.85829959514166,998.0871794871794,1414.8056831034553,39
FSRCNN,FSRCNN_x4,43.129594368945966,92.35072145016404,4.258360124038726,0.20097876659330943,354.6099290780142,1126.5115789473684,1537.7673671224227,38
Real-ESRGAN,RealESRGAN_x4,154.4675033613213,2.955840968793664,155.76323987538942,149.47683109118086,158.9825119236884,6.476000000000001,0.12465062285354934,10
