passes,device,game_fps,delivered_fps,gpu_max
1,dGPU,27.44,27.45,95
1,iGPU,34.41,26.38,64
2,dGPU,19.26,19.15,100
2,iGPU,37.75,13.65,63
3,dGPU,19.26,12.94,100
3,iGPU,36.06,9.23,56
4,dGPU,19.37,9.71,100
4,iGPU,36.52,6.96,63
6,dGPU,19.24,6.54,100
6,iGPU,37.53,4.65,62
8,dGPU,19.14,4.91,100
8,iGPU,36.20,3.52,59
