Resolución,Nombre,Categoría,Megapíxeles,FPS_Nativo,FPS_Híbrido,Inferencia_ms,Latencia_Total_ms,Caída_FPS_%,Tiempo_Real,Suave,Competitivo,Valoración,Cuello_Botella
160x120,QQVGA,Muy Baja,0.0192,4950.210006112362,538.711295435661,0.07783957233084712,1.5778395723308472,89.11740522582926,True,True,True,Excelente,AI_Processing
320x240,QVGA,Baja,0.0768,3894.651661475911,421.4259428790846,0.5169617328088453,2.0169617328088454,89.17936751449083,True,True,True,Excelente,AI_Processing
480x270,qHD,Baja+,0.1296,1833.3359418590821,327.7731916189532,1.0932566229765128,2.593256622976513,82.12148771345326,True,True,True,Excelente,AI_Processing
640x360,nHD,Media Baja,0.2304,1020.9887675538324,211.97216047396978,2.5099605443441253,4.009960544344125,79.23854138162265,True,True,True,Excelente,AI_Processing
640x480,VGA,Media,0.3072,766.3130893521047,164.5447694350037,3.665767364825023,5.165767364825022,78.52773602312843,True,True,True,Excelente,AI_Processing
800x600,SVGA,Media+,0.48,486.95280999334676,97.49575263920558,7.218328511658599,8.718328511658598,79.9783981859479,True,True,False,Bueno,AI_Processing
1024x576,WSVGA,Media Alta,0.589824,401.4698071934009,75.65084405818413,9.735829693403723,11.235829693403723,81.1565296561042,True,True,False,Bueno,AI_Processing
1024x768,XGA,Alta,0.786432,301.56723153398156,51.46134274624196,15.017252652955165,16.517252652955165,82.93536652358625,True,False,False,Aceptable,AI_Processing
1280x720,HD,HD Estándar,0.9216,256.45463495755615,41.56773708835223,18.948551197129756,20.448551197129756,83.79138786271818,True,False,False,Aceptable,AI_Processing
1366x768,WXGA,HD+,1.049088,224.60551964974954,33.927519833823844,23.553408093585357,25.053408093585357,84.89461884697646,True,False,False,Aceptable,AI_Processing
1600x900,HD+,HD Plus,1.44,161.87795049246668,22.456664966934877,36.350678239691305,37.850678239691305,86.12740963261705,False,False,False,Insuficiente,AI_Processing
1680x1050,WSXGA+,HD Pro,1.764,133.86912863229728,15.396264902074261,53.70819532570421,55.20819532570421,88.49901761565678,False,False,False,Insuficiente,AI_Processing
1920x1080,FHD,Full HD,2.0736,112.63861460766935,11.327451060030468,73.53894702306609,75.03894702306609,89.94354547107577,False,False,False,Insuficiente,AI_Processing
2048x1152,2K,2K Intermedio,2.359296,101.55592429099241,8.430336462394775,99.32634350261077,100.82634350261077,91.69882355829978,False,False,False,Insuficiente,AI_Processing
2560x1440,QHD,Quad HD,3.6864,63.485980223170756,3.0114214840044657,280.7587288145745,282.2587288145745,95.25655668634478,False,False,False,Insuficiente,AI_Processing
3200x1800,QHD+,Quad HD+,5.76,40.47642981511472,0.8699228223280621,975.5981726002484,977.0981726002484,97.85079161798204,False,False,False,Insuficiente,AI_Processing
3840x2160,4K UHD,4K Ultra HD,8.2944,28.13848700924897,0.31651957558099414,2683.957916590987,2685.457916590987,98.87513647952375,False,False,False,Insuficiente,AI_Processing
4096x2160,DCI 4K,4K Cinema,8.84736,26.77551689144444,0.2524548835416485,3365.4382349649495,3366.9382349649495,99.05714281981867,False,False,False,Insuficiente,AI_Processing
